F,3,3,0
F,4,1,2
F,5,3,0
F,16,3,0
F,17,1,2
F,18,3,0
F,21,2,0
F,22,1,0
F,23,1,0
F,24,1,0
F,25,1,0
F,26,1,0
F,27,2,0
F,28,2,0
F,29,2,0
F,32,2,0
F,33,2,0
F,34,2,0
F,35,1,0
F,36,1,0
F,37,1,0
F,38,1,0
F,39,1,0
F,40,2,0
F,41,2,0
F,42,1,1
F,43,1,1
F,44,1,1
F,45,1,1
F,46,1,1
F,47,2,0
F,48,1,1
F,49,2,0
F,50,2,0
F,52,2,0
F,53,1,1
F,54,2,0
F,55,1,1
F,56,1,1
F,57,1,1
F,58,1,1
F,59,1,1
F,60,2,0
F,61,2,0
F,62,2,0
F,63,2,0
F,64,1,1
F,65,2,0
F,66,2,0
F,67,2,0
F,68,1,1
F,69,1,1
F,70,2,0
F,71,2,0
F,72,2,0
F,73,1,1
F,74,2,0
F,75,2,0
F,76,2,0
F,77,1,1
F,78,2,0
F,79,2,0
F,80,2,0
F,83,2,0
F,84,1,1
F,85,2,0
F,87,2,0
F,88,1,1
F,89,2,0
F,90,1,1
F,91,2,0
F,92,2,0
F,93,1,1
F,94,2,0
F,96,2,0
F,97,1,1
F,98,2,0
F,103,2,0
F,104,1,1
F,105,2,0
F,107,2,0
F,108,1,1
F,109,2,0
F,110,2,0
F,111,1,1
F,112,2,0
F,113,1,1
F,114,2,0
F,116,2,0
F,117,1,1
F,118,2,0
F,123,2,0
F,124,1,1
F,125,2,0
F,127,2,0
F,128,1,1
F,129,2,0
F,130,2,0
F,131,2,0
F,132,1,1
F,133,1,1
F,134,2,0
F,136,2,0
F,137,1,1
F,138,2,0
F,143,2,0
F,144,1,1
F,145,2,0
F,147,2,0
F,148,1,1
F,149,2,0
F,151,2,0
F,152,2,0
F,153,1,1
F,154,2,0
F,156,2,0
F,157,1,1
F,158,2,0
F,163,2,0
F,164,2,0
F,165,2,0
F,167,2,0
F,168,2,0
F,169,2,0
F,172,2,0
F,173,2,0
F,174,2,0
F,176,2,0
F,177,2,0
F,178,2,0
P,2,2,24797
K,0,2,24797
K,4,1,24797
K,17,1,24797
