F,13,7,0
F,14,4,0
F,15,4,0
F,16,6,0
F,17,2,0
F,18,8,0
F,19,4,0
F,47,1,2
F,26,3,0
F,27,3,0
F,28,2,0
F,29,4,0
F,30,5,0
F,33,6,0
F,36,1,5
F,39,2,0
F,46,2,0
F,47,1,3
F,48,8,0
F,49,1,5
F,50,2,0
F,53,7,0
F,54,6,0
F,55,4,0
F,56,1,1
F,57,4,0
F,58,5,0
F,59,3,0
F,62,1,1
F,63,1,1
F,64,1,1
F,65,1,1
F,66,1,1
F,67,4,0
F,68,26,0
F,69,3,0
F,70,9,0
F,73,2,0
F,74,1,3
F,75,9,0
F,76,1,1
F,77,1,0
F,78,1,3
F,79,2,0
F,82,1,1
F,83,1,3
F,84,1,1
F,85,1,4
F,86,1,1
F,87,1,3
F,88,2,0
F,89,1,1
F,90,5,0
F,93,3,0
F,94,3,0
F,95,2,0
F,96,1,1
F,97,9,0
F,98,4,0
F,99,6,0
F,102,1,1
F,103,1,1
F,104,1,1
F,105,1,1
F,106,1,1
F,107,2,0
F,108,7,0
F,109,3,0
F,110,6,0
F,113,4,0
F,115,5,0
F,116,1,1
F,117,7,0
F,119,3,0
F,122,1,1
F,123,1,2
F,124,1,1
F,125,1,3
F,126,1,1
F,133,7,0
F,136,1,4
F,139,3,0
F,129,2,0
F,142,1,1
F,143,1,1
F,144,1,1
F,145,1,1
F,146,1,1
F,153,1,0
F,154,3,0
F,156,1,3
F,158,2,0
F,159,9,0
F,173,5,0
F,174,6,0
F,175,2,0
F,177,2,0
F,178,9,0
F,179,1,0
F,193,8,0
F,194,8,0
F,195,2,0
F,196,3,0
F,197,2,0
F,198,9,0
F,199,7,0
P,1,1,24797
K,0,1,24797
K,47,0,24797
K,123,0,24797
