F,4,7,0
F,5,4,0
F,6,4,0
F,7,6,0
F,8,2,0
F,9,8,0
F,10,4,0
F,11,3,0
F,12,3,0
F,13,2,0
F,14,4,0
F,15,5,0
F,16,6,0
F,24,1,0
F,25,2,0
F,26,2,0
F,27,1,0
F,28,8,0
F,29,1,0
F,30,2,0
F,31,7,0
F,32,6,0
F,33,4,0
F,34,4,0
F,35,5,0
F,36,3,0
F,44,2,0
F,45,8,0
F,55,5,0
F,56,5,0
F,64,2,0
F,68,1,1
F,69,1,1
F,70,1,1
F,71,1,1
F,72,1,1
F,76,1,0
F,84,5,0
F,86,1,1
F,87,1,1
F,88,1,1
F,89,1,1
F,90,1,1
F,91,1,1
F,92,1,1
F,93,1,1
F,94,1,1
F,96,2,0
F,104,1,0
F,105,5,0
F,106,3,0
F,107,3,0
F,108,2,0
F,109,5,0
F,111,6,0
F,112,2,0
F,113,2,0
F,114,1,0
F,115,6,0
F,116,8,0
F,124,2,0
F,129,7,0
F,130,3,0
F,131,6,0
F,136,4,0
F,144,5,0
F,159,7,0
F,164,3,0
F,165,8,0
F,166,1,0
F,167,5,0
F,168,1,0
F,169,4,0
F,170,7,0
F,171,1,0
F,172,3,0
F,173,2,0
F,174,5,0
F,175,4,0
F,176,2,0
P,1,2,24797
K,0,1,24797
